inventar_nummer,bezeichnung,urheber,geo,datum,masse,material_technik,sammlung,creditline,provenienz,kurzbeschreibung,literatur,bildnachweis,credits,dateiname
2009.135,"Patolu, Doppel-Ikat Seidensari, vorhra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 440 x 114 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.135.jpg
2009.63,"Patolu, Fragment eines Doppel-Ikat Seidensaris, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 180 x 128 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.63.jpg
2009.170,"Patolu, Doppel-Ikat Seidensari / odhani, gala vali bhat",Standardkünstler,"Indien, Gujarat",1. Hälfte 20. Jh.,Textilfläche: 352 x 126 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.170.jpg
2009.68,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 382 x 128 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.68.jpg
2009.146,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 444 x 116 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.146.jpg
2009.143,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 426 x 118 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.143.jpg
2009.112,"Patolu, Doppel-Ikat Hose, fulvadi bhat",Standardkünstler,"Indien, Gujarat",um 1900,,"Seide, Baumwolle und Zari-Faden (Goldfaden) / Doppel-Ikat",Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.112.jpg
2009.82,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 367 x 104 cm,Seide und Zari-Faden (Silberfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.82.jpg
2009.66,"Patolu, Doppel-Ikat Seidensari, pan bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 360 x 135 cm,Seide / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Kunsthandel, Ahmedabad, Indien; Eberhard Fischer",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.66.jpg
2009.132,"Patolu, Doppel-Ikat Seidensari, vohra gaji bhat",Standardkünstler,"Indien, Gujarat",um 1900,Textilfläche: 434 x 113 cm,Seide und Zari-Faden (Goldfaden) / Doppel-Ikat,Sammlung Eberhard Fischer,Geschenk Eberhard und Barbara Fischer,"Eberhard Fischer; Kunsthandel, Ahmedabad, Indien",,"Kontext: Textilien: Die Sammlung Eberhard Fischer: Geschenk (Teil 1: 2009) an das Museum Rietberg Zürich, hrsg./übers.: Museum Rietberg Zürich; Autor/in: Fischer, Eberhard; Zürich, 2009",,,2009.132.jpg
